parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt0806910,1.0,338.0,5.5,33.0
tt0806910,1.0,345.0,6.1,55.0
tt0806910,1.0,348.0,6.6,69.0
tt0806910,1.0,349.0,5.9,71.0
tt0806910,1.0,341.0,6.6,69.0
tt0806910,1.0,340.0,6.0,35.0
tt0806910,1.0,326.0,6.6,60.0
tt0806910,1.0,328.0,6.7,87.0
tt0806910,1.0,335.0,5.3,31.0
tt0806910,1.0,363.0,6.0,92.0
tt0806910,1.0,327.0,6.2,66.0
tt6677224,1.0,3.0,7.0,758.0
tt0907683,1.0,1.0,6.2,1909.0
tt0364151,11.0,4.0,8.0,102.0
tt12749392,5.0,2.0,7.4,2024.0
tt12749392,5.0,1.0,7.6,2117.0
tt12749392,5.0,3.0,7.9,2554.0
tt0806910,1.0,351.0,6.5,35.0
tt0806910,1.0,352.0,6.3,65.0
tt0806910,1.0,365.0,6.2,44.0
tt0806910,1.0,357.0,5.8,66.0
tt0806910,1.0,354.0,5.8,69.0
tt0806910,1.0,362.0,5.3,32.0
tt0806910,1.0,366.0,6.0,61.0
tt0806910,1.0,359.0,6.5,73.0
tt0806910,1.0,355.0,5.6,54.0
tt0806910,1.0,353.0,5.6,36.0
tt0806910,1.0,358.0,5.1,26.0
tt0806910,1.0,356.0,5.8,92.0
tt0806910,1.0,360.0,6.9,41.0
tt0806910,1.0,361.0,4.4,32.0
tt0806910,1.0,367.0,5.4,83.0
tt0806910,1.0,350.0,6.6,144.0
tt0806910,1.0,364.0,5.6,56.0
tt0806910,1.0,374.0,7.1,99.0
tt0046593,10.0,21.0,8.7,87.0
tt0806910,1.0,45.0,5.7,59.0
tt0806910,1.0,47.0,5.8,52.0
tt0806910,1.0,161.0,5.0,56.0
tt0907683,1.0,8.0,6.2,2083.0
tt0806910,1.0,306.0,6.3,46.0
tt0806910,1.0,311.0,5.0,32.0
tt0056751,20.0,23.0,8.1,1594.0
tt0364151,1.0,1.0,7.3,136.0
tt0806910,1.0,230.0,6.6,137.0
tt0806910,1.0,368.0,5.6,41.0
tt0159876,49.0,15.0,8.9,13.0
tt0806910,1.0,258.0,6.3,82.0
tt0806910,1.0,369.0,6.5,71.0
tt0806910,1.0,312.0,5.8,49.0
tt0098749,1.0,1.0,7.1,1117.0
tt0806910,1.0,244.0,6.5,154.0
tt0806910,1.0,370.0,4.3,30.0
tt0806910,1.0,277.0,6.2,60.0
tt0806910,1.0,265.0,6.1,69.0
tt0806910,1.0,371.0,6.8,185.0
tt0159876,21.0,14.0,8.3,33.0
tt0806910,1.0,372.0,6.4,130.0
tt0806910,1.0,373.0,6.6,53.0
tt0806910,1.0,294.0,5.7,47.0
tt0806910,1.0,390.0,4.1,40.0
tt0806910,1.0,295.0,6.4,59.0
tt0806910,1.0,27.0,5.5,57.0
tt0806910,1.0,84.0,5.5,57.0
tt0806910,1.0,109.0,4.4,62.0
tt0806910,1.0,74.0,6.0,54.0
tt0806910,1.0,60.0,5.8,53.0
tt0806910,1.0,103.0,5.5,55.0
tt0806910,1.0,38.0,5.0,46.0
tt0806910,1.0,49.0,6.0,61.0
tt0806910,1.0,15.0,5.8,60.0
tt0159876,22.0,6.0,8.0,38.0
tt0806910,1.0,65.0,5.7,55.0
tt0806910,1.0,53.0,6.2,50.0
tt0364151,12.0,2.0,7.8,114.0
tt0806910,1.0,317.0,4.5,26.0
tt0112167,1.0,1.0,8.1,1552.0
tt0806910,1.0,376.0,5.7,56.0
tt0806910,1.0,377.0,7.2,32.0
tt0364151,12.0,4.0,7.3,358.0
tt0806910,1.0,375.0,5.6,50.0
tt0806910,1.0,271.0,5.2,48.0
tt0907683,1.0,2.0,5.6,1735.0
tt0907683,1.0,3.0,5.9,1616.0
tt13031912,1.0,5.0,5.6,834.0
tt0806910,1.0,168.0,6.1,57.0
tt0046593,9.0,8.0,6.4,84.0
tt0094416,10.0,6.0,7.7,209.0
tt0806910,1.0,310.0,6.3,60.0
tt0806910,1.0,273.0,6.2,65.0
tt0056751,13.0,17.0,8.2,768.0
tt0907683,1.0,4.0,6.2,1641.0
tt0364151,11.0,5.0,5.9,74.0
tt0364151,6.0,5.0,3.4,80.0
tt0094416,3.0,7.0,8.2,25.0
tt0806910,1.0,285.0,6.1,61.0
tt0806910,1.0,305.0,5.8,39.0
tt0806910,1.0,379.0,5.7,50.0
tt0806910,1.0,378.0,5.2,37.0
tt0806910,1.0,238.0,6.1,89.0
tt0907683,1.0,5.0,5.8,1584.0
tt0806910,1.0,380.0,6.4,46.0
tt0806910,1.0,292.0,6.4,72.0
tt0046593,4.0,12.0,8.0,306.0
tt0046593,3.0,14.0,7.5,137.0
tt0806910,1.0,382.0,6.6,39.0
tt0806910,1.0,383.0,7.0,202.0
tt0806910,1.0,385.0,6.4,34.0
tt0907683,1.0,6.0,6.1,1570.0
